SN,Pred_CO2,Pred_Visc
XVS131,-1.286,2.938
EV49,-1.727,2.847
XVS114,-1.725,2.862
XVS017,-1.302,2.949
EV58,-1.651,2.917
XVS159,-1.983,2.499
EV12,-1.655,2.919
XVS005,-1.741,2.899
XVS023,-1.909,2.864
XVS011,-1.756,2.943
XVS169,-0.986,3.000
XVS018,-1.511,3.003
XVS170,-2.035,2.665
XVS010,-2.017,2.878
XVS020,-1.893,2.991
XVS004,-2.038,2.825
XVS062,-2.005,2.977
XVS166,-2.005,2.977
XVS008,-2.020,2.972
XVS111,-1.755,3.346
XVS059,-2.283,4.554
XVS060,-2.291,4.420
XVS061,-2.332,2.798
XVS119,-1.775,4.769
XVS120,-1.613,4.700
XVS121,-1.452,4.631
XVS122,-1.291,4.868
XVS123,-1.130,4.161
XVS157,-2.324,3.810
XVS158,-1.191,5.085
EC23,-0.837,3.181
EV26,-2.170,3.413
EV27,-2.100,2.885
XVS009,-2.044,3.209
XVS105,-1.702,4.743
EV22,-0.821,3.120
XVS108,-1.552,3.414
XVS109,-1.596,3.522
XVS144,-1.556,3.081
XVS148,-1.435,3.124
EV56,-2.078,2.700
XVS160,-2.173,2.718
XVS107,-1.074,3.761
XVS161,-2.134,2.646
XVS162,-2.247,2.707
XVS163,-2.191,2.809
XVS164,-2.219,3.587
XVS165,-2.185,3.280
EV60,-1.891,3.021
XVS039,-0.664,3.313
XVS113,-2.389,3.523
XVS091,-1.661,4.563
XVS095,-1.596,4.692
EV61,-2.476,2.913
XVS040,-1.488,3.309
XVS097,-2.083,3.078
XVS124,-2.011,3.061
XVS125,-1.816,3.237
XVS126,-1.621,3.412
XVS127,-1.426,3.892
XVS128,-1.231,3.400
XVS175,-1.477,3.097
XVS132,-1.179,3.163
XVS133,-1.073,3.693
XVS134,-0.966,3.113
XVS171,-1.765,4.197
XVS098,-2.014,4.293
XVS103,-2.668,3.733
XVS106,-2.063,4.587
XVS172,-2.562,3.545
XVS014,-1.819,3.719
EV70,-0.680,3.022
XVS028,-1.815,3.036
XVS032,-0.680,3.151
XVS173,-1.757,3.718
XVS092,-1.652,4.094
XVS096,-1.587,4.223
XVS099,-1.742,3.651
